,Wikidata
http://www.wikidata.org/entity/Q35127,0.9998908654370839
http://www.wikidata.org/entity/Q35273,1.0
http://www.wikidata.org/entity/Q355304,0.9999885973614294
http://www.wikidata.org/entity/Q3559093,1.0
http://www.wikidata.org/entity/Q35657,1.0
http://www.wikidata.org/entity/Q3623811,1.0
http://www.wikidata.org/entity/Q3624078,1.0
http://www.wikidata.org/entity/Q3625949,1.0
http://www.wikidata.org/entity/Q3656794,1.0
http://www.wikidata.org/entity/Q36784,1.0
http://www.wikidata.org/entity/Q368835,1.0
http://www.wikidata.org/entity/Q375011,1.0
http://www.wikidata.org/entity/Q378427,1.0
http://www.wikidata.org/entity/Q37901,1.0
http://www.wikidata.org/entity/Q3839507,1.0
http://www.wikidata.org/entity/Q38782,1.0
http://www.wikidata.org/entity/Q3918,1.0
http://www.wikidata.org/entity/Q39235,1.0
http://www.wikidata.org/entity/Q3947,0.9990346332151623
http://www.wikidata.org/entity/Q3957,1.0
http://www.wikidata.org/entity/Q39594,1.0
http://www.wikidata.org/entity/Q39614,0.9998508501541216
http://www.wikidata.org/entity/Q39816,1.0
http://www.wikidata.org/entity/Q4002648,1.0
http://www.wikidata.org/entity/Q40080,1.0
http://www.wikidata.org/entity/Q40218,1.0
http://www.wikidata.org/entity/Q4022,0.9999974810638979
http://www.wikidata.org/entity/Q402330,1.0
http://www.wikidata.org/entity/Q4030620,1.0
http://www.wikidata.org/entity/Q40434727,1.0
http://www.wikidata.org/entity/Q4068468,1.0
http://www.wikidata.org/entity/Q408804,1.0
http://www.wikidata.org/entity/Q4112110,1.0
http://www.wikidata.org/entity/Q41176,0.9998949866633062
http://www.wikidata.org/entity/Q4120211,1.0
http://www.wikidata.org/entity/Q41253,0.9998493124882275
http://www.wikidata.org/entity/Q4139977,1.0
http://www.wikidata.org/entity/Q41614,1.0
http://www.wikidata.org/entity/Q4166005,1.0
http://www.wikidata.org/entity/Q4167410,[]
http://www.wikidata.org/entity/Q41691,1.0
http://www.wikidata.org/entity/Q41710,1.0
http://www.wikidata.org/entity/Q417175,1.0
http://www.wikidata.org/entity/Q4209223,1.0
http://www.wikidata.org/entity/Q42744322,1.0
http://www.wikidata.org/entity/Q43229,1.0
http://www.wikidata.org/entity/Q43516519,1.0
http://www.wikidata.org/entity/Q43702,1.0
http://www.wikidata.org/entity/Q4374856,1.0
http://www.wikidata.org/entity/Q4468368,1.0
http://www.wikidata.org/entity/Q4538273,1.0
http://www.wikidata.org/entity/Q4538275,1.0
http://www.wikidata.org/entity/Q4538278,1.0
http://www.wikidata.org/entity/Q455647,1.0
http://www.wikidata.org/entity/Q462778,1.0
http://www.wikidata.org/entity/Q466421,1.0
http://www.wikidata.org/entity/Q4671277,1.0
http://www.wikidata.org/entity/Q46831,1.0
http://www.wikidata.org/entity/Q47053,1.0
http://www.wikidata.org/entity/Q47150325,1.0
http://www.wikidata.org/entity/Q473972,1.0
http://www.wikidata.org/entity/Q47461344,0.9992225873705785
http://www.wikidata.org/entity/Q47521,0.9999590046324766
http://www.wikidata.org/entity/Q476028,0.9999408546503031
http://www.wikidata.org/entity/Q48204,0.9996729354047424
http://www.wikidata.org/entity/Q482994,0.999995292145887
http://www.wikidata.org/entity/Q4830453,1.0000063576832603
http://www.wikidata.org/entity/Q4841087,1.0
http://www.wikidata.org/entity/Q484170,1.000025692410462
http://www.wikidata.org/entity/Q484652,1.0
http://www.wikidata.org/entity/Q486972,0.9999663772871851
http://www.wikidata.org/entity/Q488051,1.0
http://www.wikidata.org/entity/Q497893,1.0
http://www.wikidata.org/entity/Q498162,1.0
http://www.wikidata.org/entity/Q498274,1.0
http://www.wikidata.org/entity/Q49892,1.0
http://www.wikidata.org/entity/Q5,[]
http://www.wikidata.org/entity/Q506240,1.0
http://www.wikidata.org/entity/Q50843083,1.0
http://www.wikidata.org/entity/Q51155363,1.0
http://www.wikidata.org/entity/Q51156688,1.0
http://www.wikidata.org/entity/Q51156692,1.0
http://www.wikidata.org/entity/Q51156715,1.0
http://www.wikidata.org/entity/Q51156721,1.0
http://www.wikidata.org/entity/Q5119,1.0
http://www.wikidata.org/entity/Q51203205,1.0
http://www.wikidata.org/entity/Q51203207,1.0
http://www.wikidata.org/entity/Q51203932,1.0
http://www.wikidata.org/entity/Q512399,1.0
http://www.wikidata.org/entity/Q515,0.9998910675381264
http://www.wikidata.org/entity/Q51576574,1.0
http://www.wikidata.org/entity/Q5193377,1.0
http://www.wikidata.org/entity/Q52047,1.0
http://www.wikidata.org/entity/Q5248912,1.0
http://www.wikidata.org/entity/Q5248923,1.0
http://www.wikidata.org/entity/Q5248961,1.0
http://www.wikidata.org/entity/Q5255892,1.0
http://www.wikidata.org/entity/Q52688389,1.0
http://www.wikidata.org/entity/Q532,0.9999211989763371
http://www.wikidata.org/entity/Q5398426,0.9999801453361394
http://www.wikidata.org/entity/Q54050,0.9999969001475529
http://www.wikidata.org/entity/Q5440534,1.0
http://www.wikidata.org/entity/Q5474012,1.0
http://www.wikidata.org/entity/Q55430416,1.0
http://www.wikidata.org/entity/Q55440238,1.0
http://www.wikidata.org/entity/Q555937,1.0
http://www.wikidata.org/entity/Q56061,0.9996675531914894
http://www.wikidata.org/entity/Q56062429,1.0
http://www.wikidata.org/entity/Q562061,1.0
http://www.wikidata.org/entity/Q56527811,1.0
http://www.wikidata.org/entity/Q570116,1.0
http://www.wikidata.org/entity/Q571,0.9894839886682191
http://www.wikidata.org/entity/Q57598,1.0
http://www.wikidata.org/entity/Q58326331,1.0
http://www.wikidata.org/entity/Q58483083,1.0
http://www.wikidata.org/entity/Q590080,1.0
http://www.wikidata.org/entity/Q5916,1.0
http://www.wikidata.org/entity/Q595452,1.0
http://www.wikidata.org/entity/Q60075825,1.0
http://www.wikidata.org/entity/Q61002,1.0
http://www.wikidata.org/entity/Q618779,0.9998361730013107
http://www.wikidata.org/entity/Q62049,1.0
http://www.wikidata.org/entity/Q620749,1.0
http://www.wikidata.org/entity/Q624038,1.0
http://www.wikidata.org/entity/Q62447,1.0
http://www.wikidata.org/entity/Q6256,1.0
http://www.wikidata.org/entity/Q63171186,1.0
http://www.wikidata.org/entity/Q63440326,1.0
http://www.wikidata.org/entity/Q64138263,1.0
http://www.wikidata.org/entity/Q64161,1.0062111801242235
http://www.wikidata.org/entity/Q644371,1.0
http://www.wikidata.org/entity/Q6456916,1.0
http://www.wikidata.org/entity/Q6465,1.0
http://www.wikidata.org/entity/Q649352,1.0
http://www.wikidata.org/entity/Q651794,1.0
http://www.wikidata.org/entity/Q66344,1.0
http://www.wikidata.org/entity/Q667509,1.0
http://www.wikidata.org/entity/Q672729,1.0
http://www.wikidata.org/entity/Q685309,1.0
http://www.wikidata.org/entity/Q6881511,1.0
http://www.wikidata.org/entity/Q7075,1.0
http://www.wikidata.org/entity/Q7103282,1.0
http://www.wikidata.org/entity/Q717040,1.0
http://www.wikidata.org/entity/Q719487,1.0
http://www.wikidata.org/entity/Q7217761,1.0
http://www.wikidata.org/entity/Q7248527,1.0
http://www.wikidata.org/entity/Q7248528,1.0
